filename,label,perimeter
00001_intensity.txt,1,8399.449471
00002_intensity.txt,1,8119.159286
00003_intensity.txt,1,8400.434164
00004_intensity.txt,1,8282.067747
00005_intensity.txt,1,8072.418459
00006_intensity.txt,1,8269.196637
00007_intensity.txt,1,8363.900875
00008_intensity.txt,1,8301.359897
00009_intensity.txt,1,8158.288225
00010_intensity.txt,1,8149.083631
00001_intensity.txt,0,7549.941329
00002_intensity.txt,0,5427.381567
00003_intensity.txt,0,6632.922226
00004_intensity.txt,0,6691.665015
00005_intensity.txt,0,7064.010847
00006_intensity.txt,0,7812.969763
00007_intensity.txt,0,5903.811074
00008_intensity.txt,0,8032.825056
00009_intensity.txt,0,4837.270884
00010_intensity.txt,0,7090.594755
